test_data,coverageProbICM95,coverageProbICM90,coverageProbGPobs95,coverageProbGPobs90,coverageProbGPexp95,coverageProbGPexp90
-2.0,0.95,0.925,0.865,0.75,0.91,0.865
-1.98,0.955,0.935,0.815,0.745,0.91,0.855
-1.96,0.955,0.935,0.79,0.7,0.91,0.855
-1.94,0.955,0.935,0.765,0.67,0.91,0.86
-1.92,0.955,0.94,0.72,0.645,0.92,0.865
-1.9,0.955,0.945,0.675,0.58,0.925,0.865
-1.88,0.965,0.95,0.625,0.515,0.92,0.865
-1.8599999999999999,0.965,0.95,0.58,0.455,0.92,0.885
-1.8399999999999999,0.965,0.955,0.505,0.395,0.925,0.88
-1.8199999999999998,0.97,0.96,0.445,0.335,0.925,0.88
-1.7999999999999998,0.975,0.955,0.39,0.28,0.925,0.885
-1.7799999999999998,0.975,0.955,0.33,0.23,0.925,0.875
-1.7599999999999998,0.975,0.955,0.26,0.19,0.935,0.865
-1.7399999999999998,0.985,0.965,0.22,0.16,0.93,0.87
-1.7199999999999998,0.985,0.965,0.175,0.11,0.935,0.87
-1.6999999999999997,0.98,0.97,0.14,0.09,0.935,0.87
-1.6799999999999997,0.985,0.97,0.11,0.07,0.935,0.87
-1.6599999999999997,0.985,0.97,0.08,0.055,0.945,0.88
-1.6399999999999997,0.985,0.97,0.055,0.035,0.94,0.87
-1.6199999999999997,0.99,0.965,0.04,0.01,0.94,0.86
-1.5999999999999996,0.99,0.97,0.025,0.01,0.945,0.865
-1.5799999999999996,0.995,0.975,0.01,0.005,0.935,0.865
-1.5599999999999996,0.995,0.97,0.005,0.005,0.93,0.855
-1.5399999999999996,0.995,0.965,0.005,0.005,0.915,0.84
-1.5199999999999996,0.995,0.97,0.005,0.0,0.905,0.835
-1.4999999999999996,0.995,0.97,0.0,0.0,0.89,0.83
-1.4799999999999995,0.99,0.98,0.0,0.0,0.9,0.825
-1.4599999999999995,0.99,0.98,0.0,0.0,0.905,0.825
-1.4399999999999995,0.995,0.98,0.0,0.0,0.905,0.82
-1.4199999999999995,0.995,0.96,0.0,0.0,0.91,0.815
-1.3999999999999995,0.99,0.96,0.0,0.0,0.915,0.825
-1.3799999999999994,0.99,0.96,0.0,0.0,0.91,0.845
-1.3599999999999994,0.99,0.955,0.0,0.0,0.915,0.84
-1.3399999999999994,0.99,0.96,0.0,0.0,0.92,0.85
-1.3199999999999994,0.99,0.955,0.0,0.0,0.915,0.87
-1.2999999999999994,0.99,0.955,0.0,0.0,0.93,0.88
-1.2799999999999994,0.99,0.955,0.0,0.0,0.935,0.88
-1.2599999999999993,0.99,0.955,0.0,0.0,0.95,0.875
-1.2399999999999993,0.99,0.955,0.0,0.0,0.945,0.895
-1.2199999999999993,0.99,0.96,0.0,0.0,0.945,0.9
-1.1999999999999993,0.99,0.96,0.0,0.0,0.945,0.905
-1.1799999999999993,0.985,0.955,0.0,0.0,0.955,0.905
-1.1599999999999993,0.985,0.96,0.0,0.0,0.955,0.9
-1.1399999999999992,0.985,0.965,0.0,0.0,0.95,0.9
-1.1199999999999992,0.985,0.965,0.0,0.0,0.95,0.905
-1.0999999999999992,0.985,0.96,0.0,0.0,0.95,0.9
-1.0799999999999992,0.985,0.965,0.0,0.0,0.95,0.89
-1.0599999999999992,0.985,0.965,0.0,0.0,0.94,0.885
-1.0399999999999991,0.985,0.97,0.0,0.0,0.94,0.88
-1.0199999999999991,0.99,0.97,0.0,0.0,0.95,0.875
-0.9999999999999991,0.99,0.97,0.0,0.0,0.945,0.88
-0.9799999999999991,0.99,0.97,0.0,0.0,0.945,0.89
-0.9599999999999991,0.99,0.97,0.0,0.0,0.93,0.885
-0.9399999999999991,0.99,0.975,0.0,0.0,0.93,0.88
-0.919999999999999,0.99,0.98,0.0,0.0,0.925,0.88
-0.899999999999999,0.99,0.98,0.0,0.0,0.915,0.88
-0.879999999999999,0.995,0.98,0.0,0.0,0.92,0.875
-0.859999999999999,0.995,0.975,0.0,0.0,0.92,0.875
-0.839999999999999,0.995,0.975,0.0,0.0,0.91,0.87
-0.819999999999999,0.995,0.975,0.0,0.0,0.905,0.87
-0.7999999999999989,0.995,0.965,0.0,0.0,0.92,0.865
-0.7799999999999989,0.995,0.965,0.0,0.0,0.925,0.86
-0.7599999999999989,0.995,0.97,0.0,0.0,0.93,0.855
-0.7399999999999989,0.995,0.97,0.0,0.0,0.93,0.865
-0.7199999999999989,0.995,0.965,0.0,0.0,0.93,0.87
-0.6999999999999988,0.995,0.965,0.0,0.0,0.93,0.875
-0.6799999999999988,0.995,0.965,0.0,0.0,0.935,0.88
-0.6599999999999988,0.995,0.955,0.0,0.0,0.935,0.875
-0.6399999999999988,0.995,0.955,0.0,0.0,0.945,0.885
-0.6199999999999988,0.99,0.955,0.0,0.0,0.945,0.89
-0.5999999999999988,0.99,0.96,0.0,0.0,0.945,0.9
-0.5799999999999987,0.985,0.96,0.0,0.0,0.945,0.91
-0.5599999999999987,0.985,0.955,0.0,0.0,0.945,0.91
-0.5399999999999987,0.975,0.95,0.0,0.0,0.955,0.91
-0.5199999999999987,0.975,0.955,0.0,0.0,0.945,0.915
-0.49999999999999867,0.975,0.955,0.0,0.0,0.955,0.92
-0.47999999999999865,0.98,0.955,0.0,0.0,0.95,0.915
-0.45999999999999863,0.98,0.96,0.0,0.0,0.955,0.92
-0.4399999999999986,0.98,0.95,0.0,0.0,0.955,0.915
-0.4199999999999986,0.98,0.95,0.0,0.0,0.95,0.92
-0.3999999999999986,0.98,0.95,0.0,0.0,0.95,0.93
-0.37999999999999856,0.985,0.95,0.0,0.0,0.95,0.93
-0.35999999999999854,0.985,0.955,0.0,0.0,0.945,0.93
-0.3399999999999985,0.99,0.96,0.0,0.0,0.95,0.935
-0.3199999999999985,0.99,0.96,0.0,0.0,0.95,0.935
-0.2999999999999985,0.99,0.96,0.0,0.0,0.95,0.935
-0.2799999999999985,0.99,0.96,0.0,0.0,0.95,0.94
-0.25999999999999845,0.99,0.965,0.0,0.0,0.955,0.935
-0.23999999999999844,0.99,0.965,0.0,0.0,0.955,0.935
-0.21999999999999842,0.99,0.965,0.0,0.0,0.95,0.94
-0.1999999999999984,0.99,0.965,0.0,0.0,0.955,0.94
-0.17999999999999838,0.99,0.965,0.0,0.0,0.955,0.94
-0.15999999999999837,0.99,0.97,0.0,0.0,0.955,0.935
-0.13999999999999835,0.99,0.98,0.0,0.0,0.955,0.92
-0.11999999999999833,0.99,0.98,0.0,0.0,0.96,0.91
-0.09999999999999831,0.99,0.98,0.0,0.0,0.96,0.905
-0.0799999999999983,0.99,0.98,0.0,0.0,0.96,0.91
-0.05999999999999828,0.995,0.98,0.0,0.0,0.95,0.91
-0.03999999999999826,0.995,0.985,0.0,0.0,0.96,0.91
-0.01999999999999824,0.995,0.985,0.0,0.0,0.96,0.91
1.7763568394002505e-15,0.995,0.985,0.0,0.0,0.95,0.91
0.020000000000001794,0.995,0.985,0.0,0.0,0.95,0.92
0.04000000000000181,0.995,0.985,0.0,0.0,0.95,0.92
0.06000000000000183,0.995,0.985,0.0,0.0,0.95,0.915
0.08000000000000185,0.995,0.985,0.0,0.0,0.95,0.915
0.10000000000000187,0.995,0.985,0.0,0.0,0.955,0.92
0.12000000000000188,0.995,0.985,0.0,0.0,0.955,0.915
0.1400000000000019,0.995,0.985,0.0,0.0,0.955,0.915
0.16000000000000192,0.995,0.985,0.0,0.0,0.96,0.915
0.18000000000000194,0.995,0.99,0.0,0.0,0.96,0.92
